City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
130,Sao Joao Da Barra,BR,75.29,broken clouds,-21.6403,-41.0511,Pousada Porto De Canoas
134,Castro,BR,65.37,overcast clouds,-24.7911,-50.0119,CHACARA BAILLY
136,Saint-Pierre,RE,69.48,clear sky,-21.3393,55.4781,Lindsey Hôtel
138,Arraial Do Cabo,BR,75.16,few clouds,-22.9661,-42.0278,Pousada Porto Praia
139,Narsaq,GL,53.82,clear sky,60.9167,-46.05,Narsaq Kayak Hostel
140,Huangzhai,CN,64.81,clear sky,38.0751,112.6595,Jiayuan Hotel
141,Mahebourg,MU,69.26,moderate rain,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
142,Chuy,UY,69.89,overcast clouds,-33.6971,-53.4616,Nuevo Hotel Plaza
143,Pidhaytsi,UA,72.46,broken clouds,49.2685,25.1334,Stare Misto Tato
144,Mayumba,GA,71.6,clear sky,-3.432,10.6554,LIKWALE LODGE
147,Mareeba,AU,65.12,few clouds,-17.0,145.4333,Trinity Plains Tourist Park
148,Vangaindrano,MG,65.17,few clouds,-23.35,47.6,Hotel Fanilo
149,Mairana,BO,72.73,clear sky,-18.1167,-63.9333,Mi Terruño
151,Norman Wells,CA,50.04,overcast clouds,65.282,-126.8329,Heritage Hotel
152,Oyotun,PE,71.19,clear sky,-6.8519,-79.3036,Daysi chavez
154,Tocopilla,CL,64.11,broken clouds,-22.092,-70.1979,Hotel Galvarino
155,Hukuntsi,BW,63.79,clear sky,-24.0,21.75,Entabeni Hotel
159,Rocha,UY,57.74,overcast clouds,-34.4833,-54.3333,Beleza Pura B&B
160,Santa Isabel Do Rio Negro,BR,76.23,light rain,-0.4139,-65.0192,Hotel GSA
162,Carnarvon,AU,62.67,clear sky,-24.8667,113.6333,Hospitality Carnarvon
163,Portree,GB,61.86,few clouds,57.4129,-6.1942,The Royal Hotel
164,Faya,SA,73.51,scattered clouds,18.3851,42.4509,املاك خالد الشعشوع
165,Hambantota,LK,79.14,clear sky,6.1241,81.1185,Bungalow 63
169,Fayaoue,NC,70.09,broken clouds,-20.65,166.5333,Chez Dydyce Guesthouse
170,Dondo,MZ,65.71,clear sky,-19.6094,34.7431,Arco Iris
172,Imbituba,BR,73.29,clear sky,-28.24,-48.6703,Praia Hotel Imbituba
173,Bandarbeyla,SO,76.23,overcast clouds,9.4942,50.8122,JABIR HOTEL
176,Bambous Virieux,MU,69.22,light rain,-20.3428,57.7575,Casa Tia Villa
179,Kismayo,SO,75.99,few clouds,-0.3582,42.5454,Agan-Hotel
181,Kupang,ID,74.14,clear sky,-10.1667,123.5833,Hotel On The Rock by Prasanthi
182,Grindavik,IS,64.35,clear sky,63.8424,-22.4338,Northern Light Inn & Max's Restaurant
183,Canico,PT,75.0,scattered clouds,32.6333,-16.85,Quinta Splendida Wellness & Botanical Garden
184,Saint Stephen,GB,61.39,moderate rain,50.3333,-4.9,4 stepaside corner
186,Inhambane,MZ,62.58,clear sky,-23.865,35.3833,Oceano
188,Lata,PT,77.04,clear sky,40.1629,-8.3327,Casa Maquia
189,Brigantine,US,76.48,overcast clouds,39.4101,-74.3646,Legacy Vacation Resorts Brigantine Beach
190,Zharkent,KZ,73.35,clear sky,44.1628,80.0,гостиница Satti
193,Aklavik,CA,52.52,scattered clouds,68.2191,-135.0107,Aklavik Inn
194,Dingle,PH,76.37,light rain,10.9995,122.6711,SEGAYA PROPERTY
197,Chapleau,CA,66.29,overcast clouds,47.8405,-83.4034,Nemegosenda Lake Lodge
198,Clyde River,CA,52.03,scattered clouds,70.4692,-68.5914,Qamaq Hotel
201,Morbach,DE,61.9,few clouds,49.8167,7.1167,Boardinghouse Morbach
202,Panzhihua,CN,73.99,moderate rain,26.5851,101.7128,Electric Power Hotel
203,Chuncheng,CN,79.43,overcast clouds,22.1731,111.7886,7Days Inn Yangjiang Yangchun Bus Terminal
205,Lufilufi,WS,74.98,broken clouds,-13.8745,-171.5986,Leuaina Beach Resort and Spa
206,Tigzirt,DZ,78.35,scattered clouds,36.8886,4.1198,Bloc D tazoumbirt (amar)
208,Pisco,PE,64.45,overcast clouds,-13.7,-76.2167,Hotel San Isidro Oficial
209,Chinsali,ZM,60.48,clear sky,-10.5414,32.0816,Mwiluzi Motel Chinsali Ltd
210,Sumy,UA,72.82,overcast clouds,50.9216,34.8003,Reikartz
211,Chapais,CA,69.58,overcast clouds,49.7834,-74.8492,Hôtel Opémiska
214,Ponta Do Sol,PT,75.0,scattered clouds,32.6667,-17.1,Hotel do Campo
216,Berlevag,NO,69.8,clear sky,70.8578,29.0864,Kvitbrakka
218,Klaksvik,FO,52.72,overcast clouds,62.2266,-6.589,Airbnb rooms
220,Port Hardy,CA,60.98,broken clouds,50.6996,-127.4199,Airport Inn
221,Kiunga,PG,72.21,overcast clouds,-6.1219,141.2906,Airport Lodge Kiunga
224,Maimbung,PH,79.57,overcast clouds,5.9272,121.0294,Bualo Resort
226,Taltal,CL,59.23,broken clouds,-25.4,-70.4833,Residencial Karime
229,Sidney,AU,51.28,scattered clouds,-33.8679,151.2073,The Grace Sydney
230,Waingapu,ID,72.81,broken clouds,-9.6567,120.2641,Pondok Wisata Elim
231,Port-Cartier,CA,66.42,clear sky,50.0334,-66.8654,Le Q'Artier
233,Airai,TL,54.16,scattered clouds,-8.9266,125.4092,Juvinal Martin
234,Lircay,PE,64.94,broken clouds,-12.9896,-74.7205,Hostal Escobar
235,Carira,BR,76.39,broken clouds,-10.3608,-37.7011,Praca dos motorista
236,Ribeira Grande,PT,77.4,broken clouds,38.5167,-28.7,Quinta da Meia Eira
245,Severodvinsk,RU,60.91,overcast clouds,64.5635,39.8302,Park Hotel
247,Batyrevo,RU,70.61,broken clouds,55.0675,47.6111,Gostinitsa Yukhma
248,Meulaboh,ID,78.06,overcast clouds,4.1363,96.1285,Kost Pria
250,Bintulu,MY,75.61,moderate rain,3.1667,113.0333,900 Boutique INN
251,Varhaug,NO,62.15,broken clouds,58.6147,5.6457,Jonas Bue
252,Zhigansk,RU,58.71,scattered clouds,66.7697,123.3711,Gostinichnyy Kompleks Aylgy
253,Heinola,FI,62.69,overcast clouds,61.2056,26.0381,Hotelli Valo
255,Sorland,NO,66.27,overcast clouds,67.667,12.6934,Sjybrygga fiskecamp
256,Halle,DE,67.82,light intensity shower rain,51.5,12.0,Hotel Schweizer Hof
259,Marihatag,PH,75.42,light rain,8.7936,126.2969,Mariner's Place & Resort
260,Bembereke,BJ,74.46,moderate rain,10.2283,2.6634,Hotel Bio Guera
261,Hanzhong,CN,69.66,overcast clouds,33.0728,107.0303,Guorui Hotel
265,Sao Filipe,CV,79.63,broken clouds,14.8961,-24.4956,Hotel Xaguate
266,Azad Shahr,IR,73.02,broken clouds,34.7909,48.5707,مزارحاج علی ربانی
269,Caravelas,BR,73.65,clear sky,-17.7125,-39.2481,Pousada dos Navegantes
270,Coracora,PE,63.55,scattered clouds,-15.0333,-73.7833,Hotel Universo
272,Namibe,AO,65.25,broken clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
273,Vestmannaeyjar,IS,59.99,clear sky,63.4427,-20.2734,Glamping & Camping
274,Soyo,AO,73.45,few clouds,-6.1349,12.3689,Hotel Mpampa
275,Labuhan,ID,78.13,scattered clouds,-6.8844,112.2051,PT PPI Lamongan Tambak C
277,Saint-Joseph,RE,68.36,clear sky,-21.3667,55.6167,"""Plantation Bed and Breakfast"
278,Geraldton,AU,64.81,scattered clouds,-28.7667,114.6,Broadwater Mariner Resort
280,Alofi,NU,71.49,overcast clouds,-19.0595,-169.9187,Taloa Heights
282,Burns Lake,CA,60.22,clear sky,54.2331,-125.7533,Burns Lake Bed and Breakfast
283,Dudinka,RU,56.01,clear sky,69.4058,86.1778,Hotel Viktoria
284,Aritao,PH,73.51,overcast clouds,16.2979,121.0345,Travelista Tours & Services‎
285,Kalabo,ZM,66.63,clear sky,-14.97,22.6814,Sikakubete Guest House Kalabo Town Council
286,Salinas,US,79.57,scattered clouds,36.6777,-121.6555,Laurel Inn & Conference Center
289,Hasaki,JP,77.4,overcast clouds,35.7333,140.8333,Hotel Sunrise Choshi
290,Rocky Mountain House,CA,60.55,overcast clouds,52.3668,-114.9188,Walking Eagle Inn & Lodge
292,Singaraja,ID,76.87,overcast clouds,-8.112,115.0882,Puri Bagus Lovina Resort
293,Krasnoshchekovo,RU,62.51,overcast clouds,51.6708,82.7289,Viro гостиница
295,Chyhyryn,UA,73.26,clear sky,49.0838,32.6555,Panatseya
296,Frankfort,ZA,55.26,clear sky,-27.2667,28.4833,Formule 11 Accomodation
300,Tignere,CM,64.69,overcast clouds,7.3667,12.65,SADECK
302,Kruisfontein,ZA,56.88,overcast clouds,-34.0033,24.7314,Oyster Bay House Rental
304,Hohhot,CN,59.29,thunderstorm with light rain,40.8106,111.6522,Sheraton Hohhot Hotel
305,Bontang,ID,78.13,moderate rain,0.1333,117.5,KOPKAR Hotel Bintang Sintuk
308,Gravdal,NO,66.09,light rain,68.1214,13.5031,Skreda Rorbusuiter
309,Ruteng,ID,60.8,broken clouds,-8.6136,120.4721,Hotel FX72 Ruteng
314,Blanquefort,FR,68.22,clear sky,44.9125,-0.6366,Hotel Balladins Bordeaux Eysines
317,Puerto Madryn,AR,53.67,clear sky,-42.7692,-65.0385,Hotel Tolosa
318,Moron,AR,51.49,light rain,-34.6534,-58.6198,Hotel Morón
320,Margate,GB,65.7,few clouds,51.3813,1.3862,Premier Inn Margate hotel
321,Idah,NG,73.62,moderate rain,7.1065,6.7342,Ubiga Hotel Idah
322,Viedma,AR,53.44,broken clouds,-40.8135,-62.9967,Hotel Cristal
324,Takoradi,GH,76.75,overcast clouds,4.8845,-1.7554,Raybow International Hotel
328,Hamina,FI,63.68,overcast clouds,60.5697,27.1979,SpaHotel Hamina
331,Semporna,MY,77.2,overcast clouds,4.4818,118.6112,"Han Palace Hotel, Semporna, Sabah."
332,Selfoss,IS,64.29,broken clouds,63.9331,-20.9971,Selfoss HI Hostel
335,Kaltasy,RU,56.73,clear sky,55.9693,54.8032,Avtostantsiya
340,Prieska,ZA,61.34,few clouds,-29.6641,22.7474,Avenue GuestHouse
342,Seabra,BR,74.93,broken clouds,-12.4186,-41.7703,Cambuí Hotel
343,Suzhou,CN,78.67,scattered clouds,31.3114,120.6181,Holiday Inn Jasmine Suzhou
345,Hervey Bay,AU,57.04,broken clouds,-25.2986,152.8535,Shelly Bay Resort
348,Lala,PH,73.42,overcast clouds,7.9745,123.7458,Dennis
354,Thompson,CA,62.76,mist,55.7435,-97.8558,Burntwood Hotel
355,Daru,PG,75.96,overcast clouds,-9.0763,143.2092,Daru Lodge
357,Hualmay,PE,66.47,scattered clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
358,Husavik,IS,57.11,scattered clouds,66.0449,-17.3389,Bjarnabúð
359,Poum,NC,68.67,overcast clouds,-20.2333,164.0167,Gîte kajeon
360,Tazovskiy,RU,53.74,clear sky,67.4667,78.7,TazHostel
361,Blagesti,RO,72.43,clear sky,46.6833,26.65,Pescado Grup corect
362,Lorengau,PG,79.86,broken clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
363,Alindao,CF,71.44,overcast clouds,5.0267,21.2088,OCHA Alindao
364,Zonguldak,TR,64.89,overcast clouds,41.25,31.8333,Süleyman Tez Ev
365,Dighwara,IN,75.27,mist,25.7333,85.0,kautaliya boys hostel
366,Cuamba,MZ,68.49,clear sky,-14.8031,36.5372,Hotel Vision
369,Glowno,PL,69.93,few clouds,51.9646,19.7157,Kwatery Pracownicze
372,Skibbereen,IE,60.6,overcast clouds,51.55,-9.2667,The West Cork Hotel
374,Mahon,ES,75.76,clear sky,39.8885,4.2658,ARTIEM Capri
375,Malpe,IN,78.1,scattered clouds,13.35,74.7167,Hotel Sri Krishna Residency
377,Nouadhibou,MR,73.38,clear sky,20.931,-17.0347,El Medina
378,Mbanza-Ngungu,CD,72.52,scattered clouds,-5.25,14.8667,Hotel Full Business
379,Guerrero Negro,MX,78.78,clear sky,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
381,Salekhard,RU,54.73,light rain,66.53,66.6019,Hotel 89
382,Vila Velha,BR,73.35,scattered clouds,-20.3297,-40.2925,Quality Suites Vila Velha
384,Sibu,MY,75.51,scattered clouds,2.3,111.8167,RH HOTEL (4 Star)
385,Miraflores,MX,68.65,overcast clouds,19.2167,-98.8083,Hotel Mansión
386,Aklera,IN,76.84,light rain,24.4167,76.5667,hotel sangam palace
388,Pitea,SE,63.09,overcast clouds,65.3172,21.4794,Piteå Stadshotell
390,Slavyanka,RU,68.7,overcast clouds,42.8633,131.3847,"Gostevoy Dom, ""Nattalika"""
392,Monze,ZM,62.74,clear sky,-16.2833,27.4833,Fay terry lodge
393,Verkhnetulomskiy,RU,55.53,scattered clouds,68.6073,31.7962,Отель Уют
394,Singkawang,ID,76.8,overcast clouds,0.9,109.0,Capital O 1822 Wahana Inn
395,Straumen,NO,66.2,overcast clouds,63.8709,11.2999,Jægtvolden Fjordhotell
396,Moranbah,AU,52.95,clear sky,-22.0016,148.0466,Direct Hotels - Monterey Moranbah
399,Mlonggo,ID,78.69,broken clouds,-6.5333,110.7,Asia Metal Art
400,Kissidougou,GN,70.47,light rain,9.1848,-10.0999,Hôtel Mantis
401,Markova,UA,71.19,scattered clouds,48.6758,24.4138,Vas.VOM
402,Kommunar,RU,67.53,overcast clouds,59.6206,30.39,Guest House Izhora
404,Aldan,RU,53.82,few clouds,58.6031,125.3894,Aldan Guest House
405,San Cristobal,VE,75.38,overcast clouds,7.7669,-72.225,Posada Villaven C.A.
406,Batagay,RU,62.19,scattered clouds,67.6333,134.6333,Gostinitsa Ki'ileekh
407,Sitka,US,60.69,overcast clouds,57.0531,-135.33,Westmark Sitka
408,Cape Coast,GH,75.94,overcast clouds,5.1053,-1.2466,Samrit Hotel
409,Padang,ID,78.31,light rain,-0.9492,100.3543,Mercure Padang
410,Mkushi,ZM,60.51,clear sky,-13.6202,29.3939,Mkushi Police Club
411,Sioux Lookout,CA,68.07,smoke,50.1001,-91.917,Knobby's Fly-In Camps
413,Rabo De Peixe,PT,71.11,broken clouds,37.8,-25.5833,Quinta das Giestas
414,Tura,IN,75.27,light rain,25.5198,90.2201,Hotel RIKMAN Continental
417,Ust-Nera,RU,58.73,clear sky,64.5667,143.2,Hotel Ust-Nera
419,Karratha,AU,67.44,scattered clouds,-20.7377,116.8463,ibis Styles Karratha
420,La Ronge,CA,62.85,broken clouds,55.1001,-105.2842,Northland Motor Hotel
424,Kolokani,ML,79.5,broken clouds,13.5728,-8.0339,Lycee Famolo Coulibalibali De Kolokani
428,Novaya Igirma,RU,52.77,few clouds,57.1334,103.9112,Tayga
429,Kahama,TZ,77.09,broken clouds,-3.8333,32.6,Kahama Gold Hotel
433,Amuntai,ID,72.91,overcast clouds,-2.4177,115.2494,Hotel Balqis
435,Hofn,IS,57.11,clear sky,64.2539,-15.2082,Hótel Höfn
440,Vao,NC,67.48,scattered clouds,-22.6667,167.4833,Hotel Kou-Bugny
444,Jinhua,CN,75.56,overcast clouds,29.1078,119.6547,Guiyun Hotel
445,Bahraich,IN,79.52,overcast clouds,27.5833,81.6,Narain Guest House
451,Baruun-Urt,MN,55.81,scattered clouds,46.6806,113.2792,Ахмадын амралт сувилал
452,Delta,NG,74.39,overcast clouds,5.5,6.0,Prestige Hotel
459,Phan Thiet,VN,79.11,few clouds,10.9333,108.1,Hotel Saigon-PT
460,Clarence Town,AU,56.86,overcast clouds,-32.5833,151.7833,River Downs Cottage
462,Guadalupe Y Calvo,MX,67.03,overcast clouds,26.1,-106.9667,Hotel Pizarro
466,Naron,ES,68.59,overcast clouds,43.5167,-8.1528,Marcial
