City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Description
79,Leningradskiy,69.3833,178.4167,38.82,77,65,16.13,RU,broken clouds
80,Vung Tau,10.346,107.0843,81.27,84,5,12.3,VN,clear sky
81,Bengkulu,-3.8004,102.2655,76.41,91,42,5.14,ID,scattered clouds
82,College,64.8569,-147.8028,61.66,81,75,6.91,US,broken clouds
83,Port Lincoln,-34.7333,135.8667,54.19,57,87,13.06,AU,overcast clouds
84,Ayan,56.45,138.1667,52.74,59,4,5.93,RU,clear sky
85,Cidreira,-30.1811,-50.2056,65.05,77,1,9.46,BR,clear sky
86,East London,-33.0153,27.9116,79.74,12,0,6.91,ZA,clear sky
87,Miri,4.4148,114.0089,80.74,89,40,2.3,MY,scattered clouds
88,Nome,64.5011,-165.4064,55.47,72,40,19.57,US,scattered clouds
89,Lebu,-37.6167,-73.65,50.11,66,11,9.17,CL,few clouds
90,Marystown,47.1666,-55.1483,67.98,82,100,12.12,CA,overcast clouds
91,Saldanha,-33.0117,17.9442,57.25,85,100,20.24,ZA,light rain
92,Pacific Grove,36.6177,-121.9166,79.16,80,40,7.0,US,scattered clouds
93,San Patricio,28.017,-97.5169,95.09,50,29,20.02,US,scattered clouds
94,Issenye,-2.0,34.3333,71.04,57,30,2.84,TZ,scattered clouds
95,Yellowknife,62.456,-114.3525,54.12,54,75,10.36,CA,broken clouds
96,Ascension,30.2169,-90.9001,95.05,61,75,5.75,US,broken clouds
97,Xacmaz,41.4635,48.806,85.32,45,20,4.43,AZ,few clouds
98,Chake Chake,-5.2459,39.7666,73.76,80,36,11.1,TZ,scattered clouds
99,Cabo San Lucas,22.8909,-109.9124,94.51,63,20,4.0,MX,few clouds
100,Fortuna,40.5982,-124.1573,64.65,96,90,8.05,US,overcast clouds
101,Puerto Del Rosario,28.5004,-13.8627,80.35,50,20,21.85,ES,few clouds
102,Adrar,20.5022,-10.0711,97.23,12,10,11.74,MR,clear sky
103,Te Anau,-45.4167,167.7167,31.32,96,96,1.25,NZ,light snow
104,Torbay,47.6666,-52.7314,73.89,78,90,13.8,CA,overcast clouds
105,Xam Nua,20.4197,104.0439,70.72,91,100,2.82,LA,overcast clouds
106,Zirandaro,18.45,-100.9833,88.27,63,43,1.48,MX,scattered clouds
107,Suamico,44.6319,-88.0393,81.37,82,90,1.01,US,overcast clouds
108,Kodiak,57.79,-152.4072,56.71,88,90,8.05,US,light rain
109,Isangel,-19.55,169.2667,68.11,88,90,4.61,VU,overcast clouds
110,Pocone,-16.2567,-56.6228,97.9,17,5,5.48,BR,clear sky
111,Hithadhoo,-0.6,73.0833,81.63,75,100,5.55,MV,overcast clouds
112,Storm Lake,42.6411,-95.2097,78.49,88,20,14.97,US,few clouds
113,Punta Arenas,-53.15,-70.9167,42.91,70,75,18.41,CL,broken clouds
114,Cherskiy,68.75,161.3,53.13,45,22,1.1,RU,few clouds
115,Kahului,20.8947,-156.47,80.62,67,20,13.8,US,few clouds
116,Guanajay,22.9264,-82.6875,90.86,65,18,7.36,CU,few clouds
117,Jamestown,42.097,-79.2353,84.18,59,40,7.0,US,scattered clouds
118,Hilo,19.7297,-155.09,76.73,76,90,4.61,US,overcast clouds
119,Walvis Bay,-22.9575,14.5053,58.08,76,29,5.75,NA,scattered clouds
120,Mount Isa,-20.7333,139.5,46.17,53,0,0.0,AU,clear sky
121,Pandan,14.0453,124.1694,80.6,83,100,4.09,PH,overcast clouds
122,Senanga,-16.1167,23.2667,65.98,24,0,6.15,ZM,clear sky
123,Shahr-E Babak,30.1165,55.1186,79.72,16,3,12.19,IR,clear sky
124,Nurota,40.5614,65.6886,86.09,21,0,6.04,UZ,clear sky
125,Lugovoy,42.9472,72.7644,79.32,23,0,9.26,KZ,clear sky
126,Namatanai,-3.6667,152.4333,77.58,82,98,6.29,PG,light rain
127,Saskylakh,71.9167,114.0833,60.21,56,100,7.74,RU,overcast clouds
128,Naze,28.3667,129.4833,77.67,88,4,13.49,JP,clear sky
129,Turayf,31.6725,38.6637,88.05,20,0,16.11,SA,clear sky
130,Sao Joao Da Barra,-21.6403,-41.0511,75.29,72,81,15.21,BR,broken clouds
131,Beringovskiy,63.05,179.3167,43.47,88,100,21.65,RU,light rain
132,Tiksi,71.6872,128.8694,45.59,85,22,4.25,RU,few clouds
133,Katsuura,35.1333,140.3,84.31,89,100,24.09,JP,overcast clouds
134,Castro,-24.7911,-50.0119,65.37,63,99,3.67,BR,overcast clouds
135,Chokurdakh,70.6333,147.9167,53.17,68,37,8.21,RU,scattered clouds
136,Saint-Pierre,-21.3393,55.4781,69.48,67,0,4.61,RE,clear sky
137,Fort-Shevchenko,44.5086,50.263,92.73,32,100,11.52,KZ,overcast clouds
